id;dc_source;dc_title;foi_nrPages;foi_fairiscoreVersions;foi_fairiscore_v2
nl.mnre1018.2e-b.2024.51.doc.1;https://open.overheid.nl/documenten/f0996a92-1fd4-44a1-925b-5517b5df10c4/file;2024 06 17 Beslisnota bij beantwoording vragen van de leden Eerdmans _JA21_ en Tuinman _BBB_ over aanbestedingsbureaucratie bij defensieaankopen;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1090.2e-b.2024.15.doc.1;https://open.overheid.nl/documenten/6f651f03-36c4-45e0-a31c-6a6d67525933/file;Beslisnota_s Kamerbrief internetconsultatie box 3 _incl. bijlagen__ deel 2;118.0;"{""v1"": 3, ""v2"": 3}";3
nl.mnre1153.2e-b.2024.75.doc.1;https://open.overheid.nl/documenten/6495ed64-7d8a-4c96-9c63-bea1a0c1759e/file;45638635.Beslisnota bij Kamerbrief Ontwikkelingen mestmarkt;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1018.2e-b.2024.14.doc.1;https://open.overheid.nl/documenten/e71df678-2113-4bc0-8168-2ff92c2de503/file;2024 01 25 Beslisnota bij Kamerbrief munitieproductie;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1045.2e-b.2024.217.doc.1;https://open.overheid.nl/documenten/68939ff6-2082-4d25-a3ae-a132773f4f9c/file;45949567.Beslisnota bij Kamerbrief overdragen gewijzigde motie van de leden Kr_ger en Thijssen over er naar streven dat per 2025-...-cb081c8;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1153.2e-b.2024.30.doc.1;https://open.overheid.nl/documenten/49bdbd6c-1694-4798-ad9d-4d43748065c2/file;44589326.Beslisnota Appreciatie motie Grinwis-Vedder over extern salderen;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1130.2e-b.2024.88.doc.1;https://open.overheid.nl/documenten/dpc-4dc3a7fce47f9fe48a420053b27ed82ab7633ae3/pdf;bijlage-1-onderliggende-beslisnota-mirt-overzicht-2025;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1073.2e-b.2024.387.doc.1;https://open.overheid.nl/documenten/799c6a54-93c6-4399-ac13-24983d3d446f/file;Openbaarmaking beslisnota - Geannoteerde Agenda Formele Raad Werkgelegenheid en Sociaal Beleid dd 2 december 2024_Geredigeerd;4.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1171.2e-b.2024.80.doc.1;https://open.overheid.nl/documenten/4ae97079-fca0-40ac-8b26-74a99ce75b5b/file;Beslisnota bij Antwoorden op Kamervragen over verschillende vormen van woonego_sme;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1045.2e-b.2024.427.doc.1;https://open.overheid.nl/documenten/3a4d3116-fc66-42bb-a371-6b6874032f8e/file;60250007.Beslisnota Staat van Groningen 2024;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1045.2e-b.2024.462.doc.1;https://open.overheid.nl/documenten/0bbe1daa-9bda-42b8-b0b9-1c922ef74ce8/file;86464400.Beslisnota bij Kamerbrief Jaarverslag Bureau Toetsing Investeringen 2023;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1073.2e-b.2024.166.doc.1;https://open.overheid.nl/documenten/0c11ddb2-9c81-417e-8ce2-85a9bcac9105/file;Openbaarmaking Beslisnota - Beleidsreactie tussentijdse evaluatie en verdiepend onderzoek wet Vbvv Geredigeerd;12.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1073.2e-b.2024.123.doc.1;https://open.overheid.nl/documenten/7a906f35-87c5-40b4-89b4-bda7ed8afff4/file;Openbaarmaking beslisnota Kamerbrief toelichting ingroeipadvarianten KOT 2025;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1130.2e-b.2024.311.doc.1;https://open.overheid.nl/documenten/dpc-e6b00b5467b64dd7c26311dc268ba343457a92f9/pdf;bijlage-1-beslisnota-terugkoppeling-ava-prorail-15-november-2024;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1090.2e-b.2024.167.doc.1;https://open.overheid.nl/documenten/8e97966e-6f96-4d98-a3ad-e64736467882/file;Beslisnota_s bij herziene beantwoording Kamervragen inflatie;4.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1034.2e-b.2024.262.doc.1;https://open.overheid.nl/documenten/2aed8a46-494b-4a93-8f4e-70b84de33ce8/file;Beslisnota Kamerbrief jaarrapportage 2023 Trustfund Wederopbouw Sint Maarten;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1109.2e-b.2024.244.doc.1;https://open.overheid.nl/documenten/dpc-c39b57778a0ff48a1a1567ecc0b604e71123cd3a/pdf;beslisnota-bij-aanbiedingsbrief-emancipatiemonitor-2024;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1025.2e-b.2024.512.doc.1;https://open.overheid.nl/documenten/8293adeb-f458-4a70-b9bb-65891e97410c/file;Beslisnota bij Kamervragen over het bericht _Onveilig sportklimaat en machtsmisbruik bij gewichthefbond_;2.0;"{""v1"": 5, ""v2"": 5}";5
